"ts_code","trade_date","close","open","high","low","pre_close","change","pct_chg","vol","amount"
"000009.SH","20140127","3297.904","3296.848","3322.72","3282.954","3310.024","-12.12","-0.3662","27573655","25872809.767"
"000009.SH","20140124","3310.024","3264.986","3313.772","3259.932","3269.61","40.414","1.236","29739714","27103811.641"
"000009.SH","20140123","3269.61","3264.214","3283.427","3257.827","3265.003","4.607","0.1411","26815918","24343072.572"
"000009.SH","20140122","3265.003","3187.922","3265.349","3187.922","3182.489","82.514","2.5928","30932086","26194776.535"
"000009.SH","20140121","3182.489","3141.955","3182.978","3141.955","3142.28","40.209","1.2796","19224437","16789339.722"
"000009.SH","20140120","3142.28","3153.063","3164.68","3126.901","3157.985","-15.705","-0.4973","18703808","16099811.668"
"000009.SH","20140117","3157.985","3198.127","3198.127","3155.51","3206.66","-48.675","-1.5179","20291142","16771891.154"
"000009.SH","20140116","3206.66","3195.156","3223.549","3188.606","3194.396","12.264","0.3839","22453717","18641561"
"000009.SH","20140115","3194.396","3183.361","3195.537","3171.321","3187.504","6.892","0.2162","21007946","17411525.955"
"000009.SH","20140114","3187.504","3132.059","3187.91","3124.823","3134.94","52.564","1.6767","22207213","17187586.164"
"000009.SH","20140113","3134.94","3152.572","3174.969","3117.345","3152.901","-17.961","-0.5697","20480768","17059589.638"
"000009.SH","20140110","3152.901","3193.698","3195.818","3143.962","3200.446","-47.545","-1.4856","24987561","19363864.763"
"000009.SH","20140109","3200.446","3230.92","3258.997","3199.451","3233.352","-32.906","-1.0177","24175027","20638039.463"
"000009.SH","20140108","3233.352","3238.262","3261.794","3225.215","3236.061","-2.709","-0.0837","21717874","19415791.888"
"000009.SH","20140107","3236.061","3202.637","3244.462","3193.67","3213.958","22.103","0.6877","19040465","17015107.095"
"000009.SH","20140106","3213.958","3305.373","3305.373","3213.19","3313.773","-99.815","-3.0121","26002281","21073377.866"
"000009.SH","20140103","3313.773","3351.729","3351.729","3305.217","3359.931","-46.158","-1.3738","27070690","23236099.473"
"000009.SH","20140102","3359.931","3345.218","3360.822","3337.457","3352.493","7.438","0.2219","21327196","19587110.817"
"000009.SH","20131231","3352.493","3327.508","3353.239","3316.903","3333.124","19.369","0.5811","22980182","20790654.747"
"000009.SH","20131230","3333.124","3339.585","3348.097","3327.429","3325.924","7.2","0.2165","22146221","19553399.833"
"000009.SH","20131227","3325.924","3271.627","3332.149","3268.562","3276.446","49.478","1.5101","23501917","20466588.13"
"000009.SH","20131226","3276.446","3338.14","3338.14","3274.142","3338.817","-62.371","-1.8681","25359032","22060139.822"
"000009.SH","20131225","3338.817","3307.387","3339.412","3297.852","3309.585","29.232","0.8833","21062806","19275350.873"
"000009.SH","20131224","3309.585","3294.199","3338.305","3282.759","3290.622","18.963","0.5763","22697836","20008684.101"
"000009.SH","20131223","3290.622","3295.368","3303.029","3244.038","3295.446","-4.824","-0.1464","21362418","18528668.846"
"000009.SH","20131220","3295.446","3342.677","3356.461","3285.982","3343.808","-48.362","-1.4463","24750738","19661867.236"
"000009.SH","20131219","3343.808","3384.22","3397.427","3340.612","3376.655","-32.847","-0.9728","21707927","17760139.721"
"000009.SH","20131218","3376.655","3381.31","3399.13","3367.951","3380.819","-4.164","-0.1232","20903808","17098734.484"
"000009.SH","20131217","3380.819","3394.016","3404.714","3370.343","3395.77","-14.951","-0.4403","25818791","21316608.102"
"000009.SH","20131216","3395.77","3468.115","3470.909","3395.77","3466.025","-70.255","-2.027","34320938","28211946.056"
"000009.SH","20131213","3466.025","3448.422","3477.609","3437.817","3464.219","1.806","0.0521","30150260","25958833.593"
"000009.SH","20131212","3464.219","3449.815","3485.773","3448.25","3454.919","9.3","0.2692","30298972","27285612.236"
"000009.SH","20131211","3454.919","3484.106","3484.106","3428.301","3498.022","-43.103","-1.2322","36722673","31577588.626"
"000009.SH","20131210","3498.022","3491.904","3518.574","3484.251","3488.585","9.437","0.2705","43015669","37406830.288"
"000009.SH","20131209","3488.585","3480.198","3496.067","3472.548","3472.138","16.447","0.4737","31669834","28668764.854"
"000009.SH","20131206","3472.138","3479.52","3491.838","3461.998","3484.259","-12.121","-0.3479","34053052","30277034.394"
"000009.SH","20131205","3484.259","3485.669","3496.207","3466.262","3484.987","-0.728","-0.0209","44322944","37696702.855"
"000009.SH","20131204","3484.987","3408.777","3505.236","3403.629","3412.731","72.256","2.1172","54745220","46980997.082"
"000009.SH","20131203","3412.731","3328.504","3415.692","3325.222","3342.637","70.094","2.097","39479777","34233270.746"
"000009.SH","20131202","3342.637","3417.806","3450.856","3310.786","3476.69","-134.053","-3.8558","53393552","45666217.674"
"000009.SH","20131129","3476.69","3464.997","3477.948","3454.529","3462.666","14.024","0.405","37512985","34527240.495"
"000009.SH","20131128","3462.666","3442.233","3481.192","3440.92","3436.358","26.308","0.7656","45241502","38177860.774"
"000009.SH","20131127","3436.358","3396.52","3437.093","3387.875","3399.422","36.936","1.0865","40726032","34878375.738"
"000009.SH","20131126","3399.422","3388.637","3407.744","3379.548","3388.196","11.226","0.3313","37494230","29456594.54"
"000009.SH","20131125","3388.196","3382.452","3417.302","3372.211","3388.126","0.07","0.0021","37093806","31365189.751"
"000009.SH","20131122","3388.126","3409.336","3420.087","3381.043","3408.972","-20.846","-0.6115","36939728","32137373.424"
"000009.SH","20131121","3408.972","3402.935","3421.063","3380.182","3414.635","-5.663","-0.1658","46197147","38006993.17"
"000009.SH","20131120","3414.635","3386.95","3414.782","3371.452","3381.478","33.157","0.9805","39797949","33810958.286"
"000009.SH","20131119","3381.478","3383.588","3393.86","3362.711","3380.947","0.531","0.0157","39236872","35526960.431"
"000009.SH","20131118","3380.947","3325.097","3381.023","3318.684","3303.685","77.262","2.3387","47883007","41634391.052"
"000009.SH","20131115","3303.685","3235.502","3331.282","3235.502","3233.402","70.283","2.1737","41763501","37070236.312"
"000009.SH","20131114","3233.402","3182.935","3233.927","3165.717","3191.394","42.008","1.3163","28927914","24430986.843"
"000009.SH","20131113","3191.394","3242.71","3243.12","3190.812","3252.675","-61.281","-1.884","28150567","23228981.794"
"000009.SH","20131112","3252.675","3223.757","3253.036","3211.173","3224.878","27.797","0.862","27446966","22737303.702"
"000009.SH","20131111","3224.878","3206.051","3236.93","3186.944","3213.849","11.029","0.3432","23507029","20348030.451"
"000009.SH","20131108","3213.849","3250.414","3260.272","3208.333","3262.568","-48.719","-1.4933","29104978","24905370.397"
"000009.SH","20131107","3262.568","3289.614","3302.567","3255.645","3302.801","-40.233","-1.2181","27956948","23939231.878"
"000009.SH","20131106","3302.801","3325.943","3356.637","3302.149","3338.213","-35.412","-1.0608","36533386","30945959.154"
"000009.SH","20131105","3338.213","3289.835","3338.417","3260.618","3299.212","39.001","1.1821","32049702","27577897.62"
"000009.SH","20131104","3299.212","3291.304","3318.395","3288.723","3288.329","10.883","0.331","25786376","22910238.047"
"000009.SH","20131101","3288.329","3289.669","3305.875","3252.831","3302.664","-14.335","-0.434","30735270","26119164.254"
"000009.SH","20131031","3302.664","3341.995","3341.995","3298.352","3349.82","-47.156","-1.4077","37068828","30840317.024"
"000009.SH","20131030","3349.82","3278.823","3350.26","3274.993","3289.908","59.912","1.8211","41609614","33602962.322"
"000009.SH","20131029","3289.908","3362.713","3383.782","3205.093","3368.936","-79.028","-2.3458","47240749","38951483.826"
"000009.SH","20131028","3368.936","3377.154","3383.859","3348.076","3378.449","-9.513","-0.2816","33485749","29194873.327"
"000009.SH","20131025","3378.449","3448.484","3455.99","3355.427","3446.725","-68.276","-1.9809","40107438","36727359.801"
"000009.SH","20131024","3446.725","3456.042","3478.205","3437.479","3466.157","-19.432","-0.5606","36966340","33950871.74"
"000009.SH","20131023","3466.157","3557.263","3573.087","3449.283","3558.853","-92.696","-2.6047","55013797","49394968.457"
"000009.SH","20131022","3558.853","3597.903","3613.062","3546.527","3597.739","-38.886","-1.0808","57686846","55802051.484"
"000009.SH","20131021","3597.739","3514.335","3598.226","3510.505","3505.678","92.061","2.6261","51577003","48537889.229"
"000009.SH","20131018","3505.678","3484.034","3511.581","3474.185","3489.346","16.332","0.4681","37578248","35382253.268"
"000009.SH","20131017","3489.346","3522.726","3541.684","3477.884","3510.487","-21.141","-0.6022","49178996","46157604.319"
"000009.SH","20131016","3510.487","3601.608","3601.608","3489.325","3613.364","-102.877","-2.8471","59481016","55870960.946"
"000009.SH","20131015","3613.364","3600.082","3615.977","3582.679","3597.179","16.185","0.4499","57507691","54870146.244"
"000009.SH","20131014","3597.179","3564.85","3602.324","3556.18","3556.691","40.488","1.1384","60444421","57821119.454"
"000009.SH","20131011","3556.691","3501.794","3557.122","3501.437","3484.739","71.952","2.0648","58591996","54422479.017"
"000009.SH","20131010","3484.739","3516.121","3521.457","3475.964","3505.548","-20.809","-0.5936","54388371","50924176.877"
"000009.SH","20131009","3505.548","3452.998","3506.264","3442.603","3457.534","48.014","1.3887","48247948","44449507.721"
"000009.SH","20131008","3457.534","3414.751","3459.219","3404.652","3412.281","45.253","1.3262","41593060","40291650.469"
"000009.SH","20130930","3412.281","3377.471","3413.409","3377.471","3366.417","45.864","1.3624","32335209","32581700.995"
"000009.SH","20130927","3366.417","3340.669","3380.828","3340.669","3346.169","20.248","0.6051","39386992","37672852.49"
"000009.SH","20130926","3346.169","3418.548","3418.548","3344.032","3433.613","-87.444","-2.5467","47915325","43940999.932"
"000009.SH","20130925","3433.613","3439.604","3473.84","3424.275","3441.413","-7.8","-0.2267","58716419","54363068.722"
"000009.SH","20130924","3441.413","3423.073","3450.154","3394.748","3425.431","15.982","0.4666","56192232","51584738.37"
"000009.SH","20130923","3425.431","3363.329","3426.077","3363.176","3355.299","70.132","2.0902","46217547","43458117.076"
"000009.SH","20130918","3355.299","3318.137","3357.352","3314.47","3321.167","34.132","1.0277","38382016","35066735.81"
"000009.SH","20130917","3321.167","3385.813","3385.813","3320.142","3388.322","-67.155","-1.982","49468810","42493710.985"
"000009.SH","20130916","3388.322","3379.677","3401.655","3374.275","3377.305","11.017","0.3262","46641545","40391470.199"
"000009.SH","20130913","3377.305","3387.158","3396.916","3361.301","3388.119","-10.814","-0.3192","56322294","44502097.451"
"000009.SH","20130912","3388.119","3368.88","3394.543","3358.885","3378.529","9.59","0.2839","58600436","44734123.043"
"000009.SH","20130911","3378.529","3404.261","3407.706","3356.206","3395.421","-16.892","-0.4975","79434222","60392266.831"
"000009.SH","20130910","3395.421","3340.721","3395.914","3338.296","3340.688","54.733","1.6384","78368305","62314839.868"
"000009.SH","20130909","3340.688","3308.999","3342.653","3301.821","3300.314","40.374","1.2233","64383268","54050767.375"
"000009.SH","20130906","3300.314","3262.128","3306.117","3260.48","3265.478","34.836","1.0668","53731102","45599574.995"
"000009.SH","20130905","3265.478","3260.588","3278.958","3244.771","3264.36","1.118","0.0342","51531246","42620381.21"
"000009.SH","20130904","3264.36","3251.378","3275.41","3243.699","3248.911","15.449","0.4755","52394182","41617112.342"
"000009.SH","20130903","3248.911","3206.953","3249.567","3197.197","3213.072","35.839","1.1154","49612124","38677826.083"
"000009.SH","20130902","3213.072","3234.112","3238.788","3168.932","3220.026","-6.954","-0.216","61488956","45821093.024"
"000009.SH","20130830","3220.026","3223.915","3260.464","3202.824","3217.866","2.16","0.0671","70451761","52847547.057"
